Record_Type,Original_Entry,Year,NA,13/01,20/01,27/01,03/02,10/02,17/02,24/02,03/03,10/03,17/03,24/03,31/03,07/04,14/04,21/04,28/04,05/05,12/05,19/05,26/05,02/06,09/06,16/06,23/06,30/06,07/07,14/07,21/07,28/07,04/08,11/08,18/08,NA,NA,08/09,15/09,22/09,29/09,06/10,13/10,20/10,27/10,03/11,10/11,17/11,24/11,01/12,08/12,15/12,22/12,29/12,Notes
Species,Swallow,1991,NA,,,,,,,,,,,,,,U*,3,F,U,F,C,C,C,C,C,C,C,C,A,,A,A,A,A,NA,NA,C,C,A,A,3*,,,,O**,,,,,,,,,
Species,House Martin,1991,NA,,,,,,,,,,,,,,,,,,,O,F,,U,F,A,C,A,A,,A,A,A,A,NA,NA,C,A,A,F30,,,,,,,,,,,,,,
Species,Meadow Pipit,1991,NA,U,A,A,A,A,A,C,U,C,F,O,U,U,,U,U,,,,,,,,,,,,,,,,,NA,NA,U,F,,F,F,F,C,C,A,A,A,C,C,C,C,A,A,
Species,Grey Wagtail,1991,NA,,U,O,,O,O,O,,,O,,,,,,,,,,,,,,,,,,,,O,,O,NA,NA,F 5R,C,F,2R,2R,,2R,2R,2R,O,U,U,U,,,,,
Species,Pied Wagtail,1991,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,C,C,C,C,NA,NA,,,,,O,F,C,C,A,A,A,A,A,A,A,A,A,
Species,Wren,1991,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,A,NA,NA,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Species,Dunnock,1991,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,C,C,C,C,NA,NA,C,C,C*,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Species,Robin,1991,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,A,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Whinchat,1991,NA,,,,,,,,,,,,,,,,,,,,,O,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,
Species,Stonechat,1991,NA,,,,,O,,,,,,,,,,,,,,,O,,,,,,,,,O,,,,NA,NA,,,,,,,O,U,,,,,,,,,,
Species,Wheatear,1991,NA,,,,,,,,,,,,,,O,,,,,,O,,,,,,,,,,O,,,NA,NA,,,,,,,,,,,,,,,,,,
Species,Blackbird,1991,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,A,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Fieldfare,1991,NA,F30,F4 F3,2,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,F7,O,,,O*,,,
Species,Song Thrush,1991,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,C,,C,C,C,C,NA,NA,C,C,C,C,C,U,U,,,U,O,U,U,F,U,U,C,
Species,Redwing,1991,NA,F,C,F23,A,A,A,C,A,,F16,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,F4*,U,,C,O,,F,F,,2,
Species,Mistle Thrush,1991,NA,C,F,C,F,C,C,C,C,C,C,F,F,C,C,C,C,C,C,C,C,C,C,C,F,C,C,,,C,F16,A,A,NA,NA,F,C,F,C,C,F,C,C,C,C,F,F,C,C,C,C,C,
Species,Whitethroat,1991,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,O*,,,,,,,,,,,,
Species,Black Cap,1991,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,O*,,,
Species,Chiff Chaff,1991,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,O,O,O,,,,,,,,,,,,,,
Species,Willow Warbler,1991,NA,,,,,,,,,,,,,,,,,O*,U,U,U,2R,2R,2R,2R,2R,2R,2R,,,C,,,NA,NA,O,O,U,,,,,,,,,,,,,,,
Species,Goldcrest,1991,NA,U,U,F,F,F,F,F,,U,,,,,U,U,U,,,,U,,,,O,U,,,,,,U,,NA,NA,F,F,F,F,U,U,U,U,U,F,F,U,F,U,U,,,
Species,Spotted Flycatcher,1991,NA,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,
Species,Long-Tailed Tit,1991,NA,F10,F6,,2x F4,F8,F8 F4,,,,O,U,2R,2R,U,U,,,,,,2,,,,,,,,,,,,NA,NA,F7,F10,F8,F6,,2,,U,,F12,F10,F10,,F5,F7 F7,,F10,
Species,Coal Tit,1991,NA,U,U,U,U,U,U,U,U,U,U,U,U,C,C,C,U,U,O,U,O,U,U,F,F,O,U,,,,F,F,F,NA,NA,F,F,F,U,U,U,U,U,U,U,U,F,U,U,U,U,U,
Species,Blue Tit,1991,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,A,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Great Tit,1991,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,A,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Tree Creeper,1991,NA,,O,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,NA,NA,O,O,,O,,,,,O,O,,,O,,,,,
Species,Jay,1991,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,
Species,Magpie,1991,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,A,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Jackdaw,1991,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,A,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Rook,1991,NA,A,A,A,A,A,A,A,A*,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,A,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Hooded Crow,1991,NA,U,F,F,F,F,U,F,F,F5,C,F,C,C,C,C,C,F,F,F,F,C,C,C,C,C,C,C,,C,C,C,C,NA,NA,C,C,C,C,C,C,C,C,C,C,U,C,C,C,C,C,C,
Species,Starling,1991,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,A,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,House Sparrow,1991,NA,,,,,F,U,U,,,,F,F,,,,,,U,,C,F,O,O,O,,,O,,,U,,U,NA,NA,,F,F10 F6,A,A,A,C,F,,,,,,2,U,U,,
Species,Chaffinch,1991,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,,C,C,C,C,NA,NA,C,C,U,C,C,F,C,C,C,C,A,A,A,A,A,A,A,
Species,Brambling,1991,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,O,,,,,1R,1R,
Species,Greenfinch,1991,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,A,NA,NA,A,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,
Species,Goldfinch,1991,NA,C,C,F,U,O,U,C,C,F,F,C,C,F,,U,F,,,F,C,U,U,C,C,F,U,F,,C,C,A,A,NA,NA,A,F,,U,,,,F,F,F3,O,U,U,,C,U,,
Species,Siskin,1991,NA,F17,C,C,U,U,C,U,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,2,
Species,Linnet,1991,NA,C,A,A,A,A,A,A,A,A,A,A,A,C,A,C,C,C,U,U,U,U,,,U,U,,,,,C,C,C,NA,NA,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,
Species,Twite,1991,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,
Species,Redpoll,1991,NA,F3,2,U,U,U,O,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,O,,F12,,,F,,,
Species,Bullfinch,1991,NA,,U,O,C,U,O,U,,,,,,,U,,U,,,,U,U,,,U,U,U,,,,F,,,NA,NA,,,,U,,,,,,O,O,,U,,U,,U,
Species,Yellow Hammer,1991,NA,2,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,
Species,Reed Bunting,1991,NA,,U,U,O,F,C,C,O,,O,U,F,U,U,,U,,,,U,2R,2R,O,O,2R,2R,2R,,2R,2R,,O,NA,NA,,,,2,,,,O,3,U,F,C,F,O,C,C,C,
Species,Tree Sparrow,1991,NA,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,
Species,Black Redstart,1991,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,
Species,Dunlin,1991,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,
Species,Goldeneye,1991,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,1R,,,,,,
