Record_Type,Original_Entry,Year,01/01,08/01,15/01,22/01,29/01,05/02,12/02,19/02,26/02,05/03,12/03,19/03,26/03,02/04,09/04,16/04,23/04,30/04,07/05,14/05,21/05,28/05,04/06,11/06,18/06,25/06,NA,NA,NA,NA,NA,NA,NA,NA,NA,02/09,09/09,16/09,23/09,30/09,07/10,15/10,22/10,29/10,NA,11/11,18/11,25/11,02/12,09/12,16/12,NA,Notes
Species,Skylark,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,,,,NA,
Species,Swallow,1983,,,,,,,,,,,,,,,,O,O,C,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,,,,2,,NA,,,,,,,NA,
Species,House Martin,1983,,,,,,,,,,,,,,,,,,,U,A,A,A,C,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,,,,,,,NA,,,,,,,NA,
Species,Hooded Crow,1983,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,C,C,C,C,C,NA,C,C,C,C,C,C,NA,
Species,Rook,1983,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,NA,
Species,Jackdaw,1983,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,NA,
Species,Magpie,1983,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,NA,
Species,Jay,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,,,,NA,
Species,Great Tit,1983,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,F,F,F,C,C,,U,,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,C,C,C,C,C,NA,C,C,C,C,C,C,NA,
Species,Blue Tit,1983,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,NA,
Species,Coal Tit,1983,C,U,C,C,C,A,A,C,C,,C,F,,C,F,F,F,F,F,F,,,,,U,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,U,U,,,,F,U,U,NA,U,U,U,C,U,O,NA,
Species,Long-Tailed Tit,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA,,,,,,,NA,
Species,Tree Creeper,1983,,,,,,O,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,O,,NA,O,,,O,,,NA,
