Record_Type,Original_Entry,Year,10/01,17/01,24/01,31/01,07/02,14/02,21/02,28/02,07/03,14/03,21/03,28/03,04/04,11/04,18/04,25/04,02/05,09/05,16/05,23/05,30/05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22/08,29/08,05/09,12/09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Notes
Species,Dunnock,1998,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Robin,1998,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Black Redstart,1998,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Whinchat,1998,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Stonechat,1998,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Wheatear,1998,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Blackbird,1998,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Fieldfare,1998,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Song Thrush,1998,,,,,,,,,,,,,O,O,O,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Redwing,1998,C,C,F30,F30,F30,F30,C,O,F,F,F5 F7,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Mistle Thrush,1998,F,F,F6 C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,U,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Whitethroat,1998,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Black Cap,1998,,,,,,,O*,,,,,,O**,,,,,,1R,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Chiff Chaff,1998,,,,,,,,,,,,,2*,1R,1R,1R,1R,1R,2R,2R,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,O,,O,O,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Willow Warbler,1998,,,,,,,,,,,,,R*,3,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,O,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Goldcrest,1998,C,C,O,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Spotted Flycatcher,1998,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Long-Tailed Tit,1998,RF15,RF15,F15,F15,F15,,2,2,2,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Coal Tit,1998,,,U,U,U,U,U,U,U,F,F,F,F,F,F,F,F,F,F,F,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,F,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Blue Tit,1998,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Great Tit,1998,,,U,U,U,U,U,F,F,F,F,F,F,F,F,F,F,F,F,F,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F,F,F,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Tree Creeper,1998,,,,,,,,O,,,,,O,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,O,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Jay,1998,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Magpie,1998,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Jackdaw,1998,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Rook,1998,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Hooded Crow,1998,U,U,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Starling,1998,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,House Sparrow,1998,,,,,,,,,,,,,,U,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Tree Sparrow,1998,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Chaffinch,1998,F,F,F,C,C,C,C,U,U,F,F,F,F,F,F,F,F,F,F,F,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F,F,F,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Brambling,1998,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Greenfinch,1998,C,C,C,C,C,C,C,C,C,C,C,A,A,A,A,C,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Goldfinch,1998,O,,U,,O,,,,U,F17,F,,F,,F,F,F,F,F,F,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,U,F,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Siskin,1998,,,,,F,F,2,,,,2,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Linnet,1998,,,,,,,,,,,,,,F6,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Twite,1998,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Redpoll,1998,,,,,F,,,,O,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Bullfinch,1998,,3,F6,,,U,,,,,2,,O,,2,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,O,O,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Yellow Hammer,1998,,O,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Reed Bunting,1998,,,,,,,,2,,,O,,O,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Raven,1998,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,O*,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
