Record_Type,Original_Entry,Year,NA,09/01,16/01,23/01,30/01,06/02,13/02,20/02,27/02,06/03,13/03,20/03,27/03,03/04,NA,NA,23/04,30/04,07/05,14/05,21/05,28/05,04/06,11/06,18/06,24/06,01/07,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/09,18/09,25/09,01/10,08/10,15/10,23/10,30/10,06/11,13/11,20/11,27/11,04/12,11/12,18/12,25/12,Notes
Species,Swallow,1982,NA,,,,,,,,,,,,,,NA,NA,,O,U2,C,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,,,F20,,,,,,,,,,,,
Species,House Martin,1982,NA,,,,,,,,,,,,,,NA,NA,,,,O,F,F,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,,,,,,,,,,,,,,,
Species,Hooded Crow,1982,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Species,Rook,1982,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Jackdaw,1982,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Magpie,1982,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Jay,1982,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Species,Great Tit,1982,NA,C,C,C,C,C,C,C,A,A,C,C,C,C,NA,NA,C,C,C,C,C,C,C,C,F,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,C,F,C,F,,F,C,C,C,C,C,C,
Species,Blue Tit,1982,NA,A,A,C,C,C,A,C,A,A,A,A,A,A,NA,NA,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,A,A,C,C,C,C,C,C,A,A,A,A,A,A,A,
Species,Coal Tit,1982,NA,,U,,,,U,U,U,U,,,,,NA,NA,O,U,U,,,,,,U,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,U,F,U,F,F,O,C,,,C,U,U,C,C,U,
