Record_Type,Original_Entry,Year,NA,NA,NA,NA,NA,NA,17/02,24/02,04/03,NA,18/03,25/03,01/04,NA,15/04,NA,NA,NA,NA,NA,27/05,03/06,10/06,17/06,NA,01/07,08/07,15/07,NA,NA,NA,NA,NA,NA,NA,NA,16/09,23/09,30/09,07/10,NA,NA,NA,04/11,11/11,18/11,25/11,02/12,09/12,NA,NA,NA,Notes
Species,Golden Plover,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Lapwing,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Dunlin,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Jack Snipe,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Snipe,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Curlew,1995,NA,NA,NA,NA,NA,NA,F5,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Redshank,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Black-Headed Gull,1995,NA,NA,NA,NA,NA,NA,A,A,A,NA,A,A,A,NA,NA,NA,NA,NA,NA,NA,,,,,NA,1R,C,C,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,NA,NA,A,A,A,A,A,A,NA,NA,NA,
Species,Common Gull,1995,NA,NA,NA,NA,NA,NA,U,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,3,U,U,NA,NA,NA,
Species,Lesser B-B Gull,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,2,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,O,,,,NA,NA,NA,,,,,,O,NA,NA,NA,
Species,Herring Gull,1995,NA,NA,NA,NA,NA,NA,C,C,C,NA,C,C,C,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,NA,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,NA,NA,NA,C,C,C,C,A,A,NA,NA,NA,
Species,Greater B-B Gull,1995,NA,NA,NA,NA,NA,NA,O,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Rock Dove,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Town Pigeon,1995,NA,NA,NA,NA,NA,NA,C,C,C,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,U,,,NA,NA,NA,NA,NA,NA,NA,NA,,,F,F,NA,NA,NA,F,F,F,F,F,F,NA,NA,NA,
Species,Stock Dove,1995,NA,NA,NA,NA,NA,NA,,U,,NA,,,,NA,NA,NA,NA,NA,NA,NA,O,,,,NA,O,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,U,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Wood Pigeon,1995,NA,NA,NA,NA,NA,NA,A,A,A,NA,A,A,A,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,NA,NA,A,A,A,A,A,A,NA,NA,NA,
Species,Collared Dove,1995,NA,NA,NA,NA,NA,NA,,O,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Turtle Dove,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Long-Eared Owl,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Swift,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
