Record_Type,Original_Entry,Year,05/01,12/01,19/01,26/01,02/02,09/02,16/02,23/02,02/03,09/03,16/03,23/03,30/03,NA,14/04,21/04,28/04,05/05,12/05,19/05,26/05,02/06,09/06,16/06,23/06,30/06,NA,NA,NA,NA,03/08,10/08,17/08,24/08,31/08,07/09,14/09,21/09,28/09,06/10,13/10,20/10,27/10,03/11,10/11,17/11,24/11,31/11,07/12,14/12,21/12,28/12,Notes
Species,House Martin,1985,,,,,,,,,,,,,,NA,,,,,F,U,C,C,C,A,C,C,NA,NA,NA,NA,A,A,A,A,C,A,A,A,,,,,,,,,,,,,,,
Species,Hooded Crow,1985,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,C,C,C,C,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Species,Rook,1985,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Jackdaw,1985,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Magpie,1985,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Jay,1985,,,,,,,,,,,,,,NA,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
Species,Great Tit,1985,A,C,C,C,A,C,C,C,A,C,C,C,C,NA,C,A,A,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,C,C,C,
Species,Blue Tit,1985,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Coal Tit,1985,C,F,,U,F,U,F,F,U,U,C,C,C,NA,U,O,,F,F,U,U,U,O,U,U,U,NA,NA,NA,NA,U,U,C,F,U,U,F,C,C,C,C,C,C,C,C,C,C,U,F,U,U,U,
Species,Long-Tailed Tit,1985,,,,,,,,,,,,,,NA,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,F3,,,,,,,,,F7,,,,
Species,Tree Creeper,1985,O,O,,,,,O,O,U,U,U,,,NA,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,2,,,,,,O,,,,O,,,
Species,Wren,1985,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,C,C,A,C,C,C,C,C,C,A,A,A,NA,NA,NA,NA,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Mistle Thrush,1985,C,C,C,C,C,C,F,F,C,C,C,C,C,NA,U,C,C,C,C,C,C,C,A,C,A,C,NA,NA,NA,NA,C,F12,F12,C,F,C,C,C,C,C,A,A,A,A,C,C,C,C,C,C,A,C,
Species,Fieldfare,1985,U,,A,C,F,O,U,,,,,,,NA,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
Species,Song Thrush,1985,C,C,C,F,C,C,C,C,C,C,C,C,C,NA,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Species,Redwing,1985,A,A,A,A,A,A,A,A,A,A,A,F,F,NA,O12,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,C,C,F,A,F10,
Species,Blackbird,1985,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Stonechat,1985,,,,,,,,,,,,,,NA,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,F3,F3,,,,,,,,,,,,
Species,Robin,1985,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Blackcap,1985,,,,,,,,,,,,,,NA,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,O,,,,,
Species,Willow Warbler,1985,,,,,,,,,,,,,,NA,4,,O,C,F,U,F,F,O,O,,O,NA,NA,NA,NA,C,C,C,O,O,4,3,4,,,,,,,,,,,,,,,
Species,Chiff Chaff,1985,,,,,,,,,,,,,,NA,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,O,,O,O*,,,,,,,,,,,,
Species,Goldcrest,1985,U,U,U,F,U,U,F,F,C,F,C,C,C,NA,U,O,U,U,C,U,U,,,O,,O,NA,NA,NA,NA,,U,,,O,,U,C,C,C,C,A,C,C,C,C,C,C,C,F,F,U,
Species,Spotted Flycatcher,1985,,,,,,,,,,,,,,NA,,,,,,,,,,,,,NA,NA,NA,NA,,U2*,U3,U,,,,3,,,,,,,,,,,,,,,
Species,Dunnock,1985,C,C,C,F,C,C,C,C,C,C,C,C,C,NA,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,C,C,C,C,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Species,Meadow Pipit,1985,U,,A,C,U,,,O,O,F10,U,,,NA,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,O,3,,U,U,U,F,F,U,C,F,C,
Species,Pied Wagtail,1985,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Grey Wagtail,1985,O,,,O,O,,O,,,O,O,,,NA,,O,,,O,,,,,O,,,NA,NA,NA,NA,,,,,U,,,,O,O,,,O,U,O,O,,F,O,,O,,
