Record_Type,Original_Entry,Year,07/01,14/01,21/01,28/01,04/02,11/02,18/02,25/02,04/03,11/03,18/03,25/03,01/04,08/04,15/04,22/04,29/04,06/05,13/05,20/05,27/05,03/06,10/06,17/06,24/06,01/07,08/07,15/07,22/07,29/07,NA,NA,NA,26/08,02/09,09/09,16/09,23/09,30/09,07/10,14/10,21/10,28/10,04/11,11/11,18/11,25/11,02/12,09/12,16/12,23/12,30/12,Notes
Species,Greenfinch,1990,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,C,C,NA,NA,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Species,Redpoll,1990,,F3,,F3,,,O,,,,,,2,,,4,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,,F3,F30 2F6,C,,
Species,Twite,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
Species,Linnet,1990,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,C,O,U,F,F,F,U,,NA,NA,NA,A,C,C,C,C,C,A,A,A,A,A,A,C,A,A,A,A,A,,
Species,Bullfinch,1990,O,U,,,,,,,,,,,2,U,I,U,O,U,U,U,,U,U,U,U,U,U,F,F,F,NA,NA,NA,F,F,U,U,,,,,,,F,,U,U,,F,O,,U,
Species,Chaffinch,1990,C,C,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,F,U,U,NA,NA,NA,C,C,C,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,
Species,Brambling,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
Species,Starling,1990,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,A,F200,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Jay,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
Species,Magpie,1990,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Jackdaw,1990,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Rook,1990,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Hooded Crow,1990,,F,F,F,U,F,C,O,O,O,U,F5,F,U,U,C,U,U,U,U,U,U,U,U,F,U,F,F,C,C,NA,NA,NA,,,,F,U,U,U,F,U,U,F,U,U,U,U,F,C,C,C,
Species,Sand Martin ,1990,,,,,,,,,,,,,,,,,3*,,,,,,,,,,,,,,NA,NA,NA,,,,,F4,,,,,,,,,,,,,,,
Species,Rock Dove,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
Species,Tree Sparrow,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,F7,5R,5R,F,F3,,,,,
Species,Black Redstart,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,O,,,,,,,
Species,Dunlin,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
