Record_Type,Original_Entry,Year,NA,15/01,22/01,29/01,05/02,12/02,19/02,26/02,05/03,12/03,19/03,26/03,02/04,09/04,16/04,23/04,30/04,07/05,14/05,21/05,28/05,04/06,11/06,18/06,25/06,02/07,09/07,16/07,23/07,NA,NA,NA,20/08,27/08,NA,NA,17/09,24/09,31/09,07/10,15/10,22/10,29/10,05/11,12/11,19/11,26/11,03/12,10/12,17/12,24/12,31/12,Notes
Species,House Sparrow,1989,NA,U,F,,,O,,U,U,F,,U,O,O,F5,U,F,U,U,F,C,C,C,C,C,C,F,F,,NA,NA,NA,,,NA,NA,,,,F12,,C,O,,F10,,,U,O,U,,,
Species,Chaffinch,1989,NA,C,C,C,C,C,A,A,A,A,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,U,U,U,NA,NA,NA,,,NA,NA,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Species,Brambling,1989,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,,,,
Species,Greenfinch,1989,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,A,A,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Goldfinch,1989,NA,U,F,C,F,,C,F,,F,C,C,C,A,A,A,C,C,F,U,F,F,C,C,F,F,F,F,C,NA,NA,NA,U,C,NA,NA,F,,F10,,F5,U,U,U,U,U,C,F6,F,C,F6,F,
Species,Siskin,1989,NA,U,U,O,O,,F3,F8,O,2,2,,U,,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,2,,F12,,
Species,Linnet,1989,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,F,U,F,U,U,U,,,U,,,O,NA,NA,NA,U,U,NA,NA,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Twite,1989,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,,,,
Species,Redpoll,1989,NA,,U,,U,,,F5,O,,,,U,,,O,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,,,,
Species,Bullfinch,1989,NA,,,O,,,,O,O,,,,O,,,U,U,U,U,O,O,U,U,U,U,,,,,NA,NA,NA,,F4,NA,NA,F,F,O,,O,O,,O,O,U,U,U,O,O,,,
Species,Yellow Hammer,1989,NA,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,,,,
Species,Reed Bunting,1989,NA,,,,,,,,,O,O,F,C,U,2R,O,F,U,2R,U,,U,U,,C*,C,U,C,C,NA,NA,NA,F,F,NA,NA,,,,,,2,,,,,O,,O,O,,O,
Species,Jack Snipe,1989,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,O,,,,,,,,,
Species,Hen Harrier,1989,NA,,,,,,,,,,,,,,,O,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,,,,
Species,Turtle Dove,1989,NA,,,,,,,,,,,,,,,,,,,,,O,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,,,,
Species,Sand Martin,1989,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,,,,
Species,Rock Dove,1989,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,,,,
