Record_Type,Original_Entry,Year,04/01,11/01,18/01,25/01,01/02,08/02,15/02,22/02,01/03,08/03,15/03,22/03,29/03,06/04,13/04,19/04,26/04,03/05,10/05,17/05,24/05,31/05,07/06,14/06,21/06,28/06,06/07,13/07,19/07,26/07,02/08,09/08,16/08,23/08,30/08,07/09,14/09,21/09,28/09,05/10,12/10,19/10,26/10,02/11,09/11,16/11,23/11,30/11,07/12,14/12,21/12,28/12,Notes
Species,Swallow,1986,,,,,,,,,,,,,,,,,C*,C,A,A,A,A,A,A,A,A,A,,A,A,A,A,A,A,A,A,C,A,F,O,C*,,2*,,,,,,,,,,
Species,House Martin,1986,,,,,,,,,,,,,,,,,U,,C,F,C,C,C,C,C,C,C,,C,A,A,A,A,F100*,A,A,A,A,O,,,,,,,,,,,,,,
Species,Hooded Crow,1986,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,C,C,C,,,O,U,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Species,Rook,1986,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Jackdaw,1986,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Magpie,1986,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Jay,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Great Tit,1986,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,C,C,C,C,C,C,C,C,,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,
Species,Blue Tit,1986,A,A,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,C,C,C,A,A,A,A,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Coal Tit,1986,U,U,,U,F,U,O,U,U,O,,,,C,F,U,U,U,C,U,O,U,,U,U,O,,,,C,C,C,U,C,U,U,U,U,F,U,F,F,F,U,C,F,C,F,F,U,U,U,
Species,Long-Tailed Tit,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F8,F10,,,,,,
Species,Tree Creeper,1986,O,O,,,2,O,O,U,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,
Species,Wren,1986,A,A,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Mistle Thrush,1986,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,,,,,O,,,,O,F,,U,,,O,F,C,C,C,C,A,C,F,F,F,F,
Species,Fieldfare,1986,A,,,,,A,C,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Song Thrush,1986,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Species,Redwing,1986,A,C,U,C,A,A,A,A,A,A,A,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,C,C,,,F,F,C,
Species,Blackbird,1986,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Stonechat,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,,,,,,,,
Species,Wheatear,1986,,,,,,,,,,,,,,,,,5*,1,,O,,,,,,,,,,,,,,,O,2,,U,F,,,,,,,,,,,,,,
Species,Robin,1986,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Blackcap,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Willow Warbler,1986,,,,,,,,,,,,,,,,,4,C,F,U,U,F,U,U,U,,,,,,,F15,C,U,,O,,,O,O,,,,,,,,,,,,,
Species,Chiff Chaff,1986,,,,,,,,,,,,,,,,,,,,O,,,,,,,,,,,,,,,,3,O,2,,,,,,,,O,,,,,,,
Species,Goldcrest,1986,U,U,C,U,F,F,U,,,,,,,C,O,,C,,F,F,,,O,,O,O,,,,,,,,U,U,C,C,C,C,C,C,C,C,C,C,C,F,U,U,F,U,U,
Species,Spotted Flycatcher,1986,,,,,,,,,,,,,,,,,,,2,,O,O,,U,,U,,,,,,F5,3,U,O,F,O,,,,,,,,,,,,,,,,
Species,Dunnock,1986,C,C,C,C,C,C,C,C,C,C,C,C,,C,C,C,C,C,C,C,C,C,C,C,C,C,,,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Species,Meadow Pipit,1986,C,4,U,U,F,C,F,C,F,O,,,O,,,O,O,,,,,,,,,,,,,,,,,,,,,O,U,3,C,C,C,C,C,C,U,C,U,F,U,F,
Species,Pied Wagtail,1986,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,?,?,?,?,,C,,,,,,,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Grey Wagtail,1986,,,,,,O,U,,,O,,,,,,,,,O,,,,,O,,,,,,,,,,U,O,,,O,U,U,U,F,O,,O,U,U,U,,O,,,
Species,Starling,1986,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,A,A,A,A,A,?,,C,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Greenfinch,1986,C,A,A,C,A,A,A,C,C,C,A,C,C,C,C,A,A,A,A,C,C,C,C,C,C,C,C,,U,U,U,U,F,F,F,C,C,C,C,,U,F,C,C,C,C,C,C,U,U,A,A,
Species,Goldfinch,1986,O,,,C,F10,C,F,O,F,,O,,U,U,C,,2,,,O,,,,,,,,,U,O,,F6,F15,C,F18,F12,C,,U,C,,C,U,C,,C,C,F5,,U,U,F6,
Species,Siskin,1986,F9,,,2F12,C,2,,,,3,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,O,,,,
Species,Linnet,1986,A,,C,A,A,A,C,C,C,A,A,A,A,C,A,C,,,F6,F,U,U,,2,,,,,,,,,,,U,U,O,,F12,F8,U,C,C,A,A,A,A,A,A,A,A,A,
Species,Redpoll,1986,C,,,,,,,,,,,,,,,,,F7,,,,,,,,,,,,,,O,,,,,,,,,,,,,,5,3,F8 F12,C,F,F,C,
Species,Bullfinch,1986,U,U,F,U,U,U,O,U,U,O,O,,,2,,U,C,O,,O,O,U,U,C,F,U,O,,2,F,C,C,2,C,F,C,C,U,C,U,C,C,C,F,C,C,C,,U,U,F,U,
Species,Crossbill,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Chaffinch,1986,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,,U,O,,O,F,C,C,C,C,C,A,A,C,C,C,C,C,C,C,C,A,A,
Species,Brambling,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Yellow Bunting,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Reed Bunting,1986,,,,,,,,,,,,,,,,,,2,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,House Sparrow,1986,,,,O,O,C,,,,O,O,?,,,U,,O,U,F,C,U,U,,U,C,O,,,O,,F12,C,3,,,,,,,,,,,,O,,F,U,,,,,
Species,Tree Sparrow,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Tufted Duck,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,
Species,Whitethroat,1986,,,,,,,,,,,,,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Cormorant,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Snow Goose,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Water Rail,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Kingfisher,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Twite,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Yellowhammer,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Sedge Warbler,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
